Dimension,MSE,RMSE,MAE,R²,Model
valence,0.7217996461723314,0.8495879272755301,0.6805107817675341,0.4532820599572198,linear
arousal,0.7431058663141138,0.8620358845860848,0.6874397860851235,0.5401252148678167,linear
valence,0.6601050898809938,0.8124685162398564,0.6567961639437232,0.5000118150995497,svr
arousal,0.699891867382698,0.8365954024393739,0.6568987400189972,0.5668684144227598,svr
valence,0.6348413339379083,0.79676931036399,0.6408096609962703,0.5191475249605788,xgboost
arousal,0.7082039046769899,0.8415485159377265,0.6633407098174436,0.5617244685356372,xgboost
