Dimension,MSE,RMSE,MAE,R²,Model
valence,0.6348413339379083,0.79676931036399,0.6408096609962703,0.5191475249605788,xgboost
arousal,0.7082039046769899,0.8415485159377265,0.6633407098174436,0.5617244685356372,xgboost
