Dimension,MSE,RMSE,MAE,R²,Model
valence,0.7217996461723314,0.8495879272755301,0.6805107817675341,0.4532820599572198,linear
arousal,0.7431058663141138,0.8620358845860848,0.6874397860851235,0.5401252148678167,linear
