Dimension,MSE,RMSE,MAE,R²,Model
valence,0.6601050898809938,0.8124685162398564,0.6567961639437232,0.5000118150995497,svr
arousal,0.699891867382698,0.8365954024393739,0.6568987400189972,0.5668684144227598,svr
