Model,Target,RMSE,MAE,R²,Training_Time_min,Peak_Memory_GB,Memory_Increase_GB
RIDGE,Valence,0.11097237993487072,0.08622280775457516,0.5726600787361042,0.04287925163904826,7.463367462158203,0.22212600708007812
RIDGE,Arousal,0.1263597360325254,0.09906170150764897,0.4391712173758564,0.04287925163904826,7.463367462158203,0.22212600708007812
SVR,Valence,0.11217936613676782,0.08908616389905448,0.5633136379222017,0.0284239133199056,7.465358734130859,0.22411727905273438
SVR,Arousal,0.12146651615261496,0.09388374792484042,0.48176585373711844,0.0284239133199056,7.465358734130859,0.22411727905273438
XGBOOST,Valence,0.10381406720789832,0.08176363552610079,0.6260133690069195,2.2058171232541404,7.497100830078125,0.255859375
XGBOOST,Arousal,0.11703258100653074,0.0903993510355552,0.5189098776384217,2.2058171232541404,7.497100830078125,0.255859375
MLP,Valence,0.1786022777754646,0.13900658106037403,-0.10692361323523003,0.3675566037495931,7.491054534912109,0.21248245239257812
MLP,Arousal,0.19594317044480367,0.14686187439966386,-0.3485688874020392,0.3675566037495931,7.491054534912109,0.21248245239257812
