feature,importance_mean,importance_std
pcm_fftMag_mfcc_sma[1]_amean,0.3045059362932714,0.012846600720433952
pcm_fftMag_spectralFlux_sma_de_stddev,0.11013214147752218,0.003833859466391036
pcm_fftMag_spectralFlux_sma_amean,0.10746446913747457,0.0049934833318756285
F0final_sma_de_stddev,0.07794196604170481,0.0029058541758638875
pcm_fftMag_mfcc_sma[2]_amean,0.05107687977071205,0.002891955087881127
pcm_fftMag_mfcc_sma_de[3]_stddev,0.0484792133049589,0.0027156253635342957
pcm_RMSenergy_sma_de_stddev,0.04798046759082273,0.002736242645498546
pcm_fftMag_mfcc_sma_de[1]_stddev,0.039961132248916974,0.002577186245119142
F0final_sma_stddev,0.03633556101442019,0.0021890491913135446
pcm_RMSenergy_sma_stddev,0.03304834067402971,0.0015666889297561936
pcm_fftMag_mfcc_sma[3]_amean,0.030847276607893014,0.0015688638211341151
pcm_fftMag_spectralHarmonicity_sma_de_amean,0.023827119537232155,0.0005166683635294748
pcm_fftMag_mfcc_sma_de[2]_amean,0.022781540322205474,0.0005855387966215133
pcm_fftMag_mfcc_sma[1]_stddev,0.019925202196536262,0.001521851596098175
pcm_fftMag_mfcc_sma[3]_stddev,0.019833072141165274,0.0007705470612435922
F0final_sma_de_amean,0.01960386944694408,0.0006733263072558734
pcm_fftMag_spectralHarmonicity_sma_stddev,0.01918067681110782,0.0009380320241514383
pcm_RMSenergy_sma_amean,0.017093465045911315,0.0014978886465248612
pcm_fftMag_spectralRollOff90.0_sma_amean,0.016738621880624915,0.00182960312393906
pcm_fftMag_spectralFlux_sma_de_amean,0.015485991029999058,0.00043588029167347127
pcm_fftMag_spectralFlux_sma_stddev,0.01466583064351148,0.0007047032039563031
pcm_fftMag_mfcc_sma_de[2]_stddev,0.014596330793782331,0.0006433391980539606
pcm_fftMag_spectralHarmonicity_sma_de_stddev,0.01445930029884257,0.00047565340548585305
pcm_fftMag_mfcc_sma_de[3]_amean,0.014042894474220935,0.0008761886159963916
pcm_RMSenergy_sma_de_amean,0.01355985249897682,0.00047047648886423864
pcm_fftMag_spectralRollOff75.0_sma_de_amean,0.013536067107851268,0.0009473520109840352
F0final_sma_amean,0.012995049684984017,0.0009096659342138052
pcm_fftMag_spectralHarmonicity_sma_amean,0.011785908333951234,0.0011142532165257925
pcm_fftMag_mfcc_sma[2]_stddev,0.009432852360518851,0.00037566753217999516
pcm_fftMag_mfcc_sma_de[1]_amean,0.009373108059483349,0.00046327800749504567
pcm_fftMag_spectralRollOff90.0_sma_de_amean,0.00932748988413048,0.0008377895465796317
pcm_fftMag_spectralRollOff75.0_sma_stddev,0.009122187949456784,0.0005089656767057774
pcm_fftMag_spectralCentroid_sma_de_amean,0.007742440331408806,0.00034448293868439867
pcm_fftMag_spectralCentroid_sma_amean,0.00761553532683028,0.0004420058872832947
pcm_fftMag_spectralRollOff90.0_sma_stddev,0.007593332491647353,0.00046011771771397176
pcm_fftMag_spectralRollOff75.0_sma_amean,0.007571797340090947,0.00041104220218864265
pcm_fftMag_spectralCentroid_sma_de_stddev,0.006994648749574251,0.00040444953208306834
pcm_fftMag_spectralCentroid_sma_stddev,0.006573260482315458,0.0003069073467225287
pcm_fftMag_spectralRollOff75.0_sma_de_stddev,0.004903878223119484,0.0005825387370045384
pcm_fftMag_spectralRollOff90.0_sma_de_stddev,0.00321732355293467,0.00028366804458998383
