feature,importance_mean,importance_std
pcm_fftMag_spectralRollOff90.0_sma_amean,0.23157642726092434,0.009872215461062846
pcm_fftMag_spectralRollOff75.0_sma_amean,0.22124541451235907,0.004478106800811449
pcm_RMSenergy_sma_de_stddev,0.20381407056965645,0.018630344994600444
pcm_fftMag_mfcc_sma[1]_amean,0.1635958028679278,0.015464946341969396
pcm_RMSenergy_sma_stddev,0.153795094332167,0.013273555032462093
F0final_sma_stddev,0.07095201794300628,0.006438773271976391
pcm_fftMag_mfcc_sma_de[1]_stddev,0.07031643396123077,0.009643131054362663
F0final_sma_amean,0.05854053823604952,0.0038957859737699416
pcm_fftMag_spectralRollOff75.0_sma_de_stddev,0.0535798630333143,0.002269640772583513
pcm_fftMag_mfcc_sma[1]_stddev,0.03747596731279044,0.0035473005302266913
pcm_fftMag_spectralCentroid_sma_de_amean,0.03506509906728217,0.0057255043557681426
pcm_fftMag_mfcc_sma_de[3]_stddev,0.030902320227914615,0.0042904575059806195
pcm_fftMag_spectralRollOff90.0_sma_stddev,0.026503999379344712,0.0021642607556701856
pcm_fftMag_spectralCentroid_sma_de_stddev,0.02543304277821834,0.0018932216207731122
pcm_fftMag_spectralRollOff90.0_sma_de_amean,0.020903712678286612,0.0035072698946651956
pcm_fftMag_spectralFlux_sma_amean,0.01999598357220187,0.0014859319098763292
pcm_fftMag_spectralRollOff90.0_sma_de_stddev,0.01955012177005646,0.0017592792658965941
pcm_fftMag_spectralCentroid_sma_stddev,0.018586558359069704,0.0016222454511210013
pcm_fftMag_spectralFlux_sma_de_amean,0.0184278294333718,0.0016140480191742476
F0final_sma_de_stddev,0.018073294228142613,0.0016279035180290253
pcm_fftMag_mfcc_sma[2]_amean,0.01777239333232159,0.002051439684138753
pcm_fftMag_spectralFlux_sma_stddev,0.01546727721358343,0.003737119266652803
pcm_fftMag_spectralHarmonicity_sma_amean,0.014731346973051073,0.0016562878096015182
pcm_RMSenergy_sma_de_amean,0.008791087920285979,0.0017154901046182189
pcm_fftMag_spectralRollOff75.0_sma_stddev,0.005998543230021358,0.0008518656984856096
pcm_fftMag_spectralHarmonicity_sma_stddev,0.005866991627373652,0.0017878988995107218
pcm_fftMag_mfcc_sma[3]_stddev,0.005109835605733304,0.0010388535269262459
pcm_fftMag_spectralRollOff75.0_sma_de_amean,0.0049395520554457615,0.002038046771212463
pcm_fftMag_mfcc_sma[3]_amean,0.004675662262574565,0.002238024397446866
pcm_fftMag_spectralHarmonicity_sma_de_amean,0.002175286495976225,0.0008647561483436345
pcm_fftMag_spectralCentroid_sma_amean,0.0017220358610827268,0.0003846521359656377
F0final_sma_de_amean,0.0016709127738466333,0.0008640497302693892
pcm_fftMag_mfcc_sma[2]_stddev,0.001449428140192266,0.00044973156366008555
pcm_fftMag_spectralHarmonicity_sma_de_stddev,0.0009954761404948665,0.0009631810704400205
pcm_RMSenergy_sma_amean,0.000862254446067201,0.0002599243396562099
pcm_fftMag_spectralFlux_sma_de_stddev,0.00045301746783199537,0.0005958439781143256
pcm_fftMag_mfcc_sma_de[2]_amean,0.00010452749208238466,0.00018914531280880882
pcm_fftMag_mfcc_sma_de[1]_amean,1.9229114975716222e-05,0.00022802989288234286
pcm_fftMag_mfcc_sma_de[3]_amean,-1.635969730457987e-05,7.05778932802416e-05
pcm_fftMag_mfcc_sma_de[2]_stddev,-4.9596705896282065e-05,0.00017328684859580943
