feature,importance_mean,importance_std
pcm_fftMag_mfcc_sma[1]_amean,0.3482449232960036,0.01956353006778686
pcm_RMSenergy_sma_de_stddev,0.10462082120745257,0.0080533960351822
F0final_sma_de_stddev,0.09145078368868587,0.004690818997634184
pcm_fftMag_mfcc_sma[2]_amean,0.07509954679691595,0.0044888718678831735
pcm_fftMag_mfcc_sma_de[1]_stddev,0.07215551708934705,0.007742422969711606
pcm_RMSenergy_sma_stddev,0.0622908752350992,0.006112242489890579
pcm_fftMag_mfcc_sma_de[3]_stddev,0.047023484946457514,0.002653666483245702
pcm_fftMag_spectralCentroid_sma_de_amean,0.04416244387936141,0.004874899831457496
F0final_sma_stddev,0.041271096326135834,0.002550533160243216
pcm_RMSenergy_sma_amean,0.04052433448310331,0.004000937497460539
pcm_fftMag_spectralFlux_sma_amean,0.04028891189968216,0.0026732691844955844
pcm_fftMag_spectralRollOff90.0_sma_de_amean,0.039123712733614965,0.0025625261090492088
pcm_fftMag_mfcc_sma[3]_amean,0.03845035366213299,0.0033617113049144113
pcm_fftMag_spectralFlux_sma_de_amean,0.03692456335765069,0.0013553237290358203
F0final_sma_amean,0.03321038416374957,0.004120333088393943
pcm_fftMag_mfcc_sma_de[1]_amean,0.03251315195538866,0.003344641335999564
pcm_fftMag_spectralRollOff75.0_sma_de_amean,0.03190918431220624,0.0020878481708350204
pcm_fftMag_spectralRollOff75.0_sma_amean,0.030687497963136058,0.0034994540041992693
pcm_fftMag_mfcc_sma[1]_stddev,0.027714386976519335,0.0028044099274776428
pcm_fftMag_mfcc_sma[3]_stddev,0.02766007381574127,0.0007665094878753467
pcm_fftMag_mfcc_sma_de[2]_stddev,0.026583963065103113,0.001479649044053297
pcm_fftMag_mfcc_sma_de[2]_amean,0.025777345542408337,0.0012546949463278826
pcm_fftMag_spectralFlux_sma_de_stddev,0.025429654709769343,0.0016232820218176547
pcm_fftMag_mfcc_sma_de[3]_amean,0.025164726269985338,0.0024844584279324366
F0final_sma_de_amean,0.024583280288839004,0.0016764385340027272
pcm_RMSenergy_sma_de_amean,0.023340566593825773,0.0013838669196785656
pcm_fftMag_spectralHarmonicity_sma_stddev,0.022082237380854398,0.00295071008423186
pcm_fftMag_spectralCentroid_sma_de_stddev,0.021955027358062495,0.0022637907542283416
pcm_fftMag_spectralHarmonicity_sma_de_stddev,0.021669081349699006,0.0013677625407963025
pcm_fftMag_spectralRollOff90.0_sma_de_stddev,0.02147632270710569,0.0013150434084431397
pcm_fftMag_spectralHarmonicity_sma_de_amean,0.021464226110102614,0.00270790711626708
pcm_fftMag_spectralRollOff75.0_sma_stddev,0.020985447284978753,0.002049156224492423
pcm_fftMag_spectralRollOff90.0_sma_stddev,0.020940907805633936,0.001529571393011971
pcm_fftMag_spectralRollOff75.0_sma_de_stddev,0.020022290743852155,0.0015471849550223896
pcm_fftMag_spectralRollOff90.0_sma_amean,0.0199354460895242,0.0017589224349747695
pcm_fftMag_mfcc_sma[2]_stddev,0.01978186758067848,0.001960258940789032
pcm_fftMag_spectralFlux_sma_stddev,0.01945403184720864,0.0013084375650714594
pcm_fftMag_spectralCentroid_sma_stddev,0.01921105330136268,0.0007857615196953137
pcm_fftMag_spectralHarmonicity_sma_amean,0.0188910855252588,0.0023786169078433977
pcm_fftMag_spectralCentroid_sma_amean,0.015719233624255157,0.0018009892938865538
